@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
127,7955,4,19829,125,0.993736,0.999497,0.286316,0.999497,0.713684,0.445122,0.995378,1.004138,0.00962
128,7955,4,19828,126,0.993685,0.999497,0.286326,0.999497,0.713674,0.445135,0.995343,1.004174,0.009656
129,7955,4,19827,127,0.993635,0.999497,0.286336,0.999497,0.713664,0.445147,0.995307,1.00421,0.00978
130,7955,4,19826,128,0.993585,0.999497,0.286347,0.999497,0.713653,0.445159,0.995271,1.004246,0.009789
131,7955,4,19825,129,0.993535,0.999497,0.286357,0.999497,0.713643,0.445172,0.995235,1.004283,0.009816
132,7955,4,19823,131,0.993435,0.999497,0.286378,0.999497,0.713622,0.445197,0.995164,1.004355,0.009835
133,7955,4,19821,133,0.993335,0.999497,0.286398,0.999497,0.713602,0.445222,0.995092,1.004427,0.009865
134,7955,4,19820,134,0.993285,0.999497,0.286409,0.999497,0.713591,0.445234,0.995056,1.004463,0.00991
135,7955,4,19818,136,0.993184,0.999497,0.286429,0.999497,0.713571,0.445259,0.994984,1.004536,0.009986
136,7955,4,19817,137,0.993134,0.999497,0.28644,0.999497,0.71356,0.445272,0.994949,1.004572,0.010106
137,7955,4,19816,138,0.993084,0.999497,0.28645,0.999497,0.71355,0.445284,0.994913,1.004608,0.010116
138,7955,4,19815,139,0.993034,0.999497,0.28646,0.999497,0.71354,0.445297,0.994877,1.004644,0.010122
139,7955,4,19814,140,0.992984,0.999497,0.286471,0.999497,0.713529,0.445309,0.994841,1.00468,0.010151
140,7955,4,19813,141,0.992934,0.999497,0.286481,0.999497,0.713519,0.445321,0.994805,1.004717,0.010228
141,7955,4,19812,142,0.992884,0.999497,0.286491,0.999497,0.713509,0.445334,0.994769,1.004753,0.010233
142,7955,4,19811,143,0.992834,0.999497,0.286501,0.999497,0.713499,0.445346,0.994734,1.004789,0.010293
143,7955,4,19810,144,0.992783,0.999497,0.286512,0.999497,0.713488,0.445359,0.994698,1.004825,0.010345
144,7955,4,19809,145,0.992733,0.999497,0.286522,0.999497,0.713478,0.445371,0.994662,1.004861,0.010379
145,7955,4,19807,147,0.992633,0.999497,0.286543,0.999497,0.713457,0.445396,0.99459,1.004934,0.010433
146,7955,4,19806,148,0.992583,0.999497,0.286553,0.999497,0.713447,0.445409,0.994555,1.00497,0.010489
147,7955,4,19805,149,0.992533,0.999497,0.286563,0.999497,0.713437,0.445421,0.994519,1.005006,0.010497
148,7955,4,19804,150,0.992483,0.999497,0.286574,0.999497,0.713426,0.445434,0.994483,1.005042,0.010499
149,7955,4,19803,151,0.992433,0.999497,0.286584,0.999497,0.713416,0.445446,0.994447,1.005079,0.010514
150,7955,4,19802,152,0.992382,0.999497,0.286594,0.999497,0.713406,0.445459,0.994411,1.005115,0.010625
151,7955,4,19801,153,0.992332,0.999497,0.286605,0.999497,0.713395,0.445471,0.994375,1.005151,0.010626
152,7955,4,19800,154,0.992282,0.999497,0.286615,0.999497,0.713385,0.445484,0.99434,1.005187,0.010732
153,7955,4,19799,155,0.992232,0.999497,0.286625,0.999497,0.713375,0.445496,0.994304,1.005223,0.010792
154,7955,4,19798,156,0.992182,0.999497,0.286636,0.999497,0.713364,0.445509,0.994268,1.00526,0.010825
155,7955,4,19797,157,0.992132,0.999497,0.286646,0.999497,0.713354,0.445521,0.994232,1.005296,0.010925
156,7955,4,19796,158,0.992082,0.999497,0.286656,0.999497,0.713344,0.445533,0.994196,1.005332,0.010987
157,7955,4,19795,159,0.992032,0.999497,0.286667,0.999497,0.713333,0.445546,0.99416,1.005368,0.011021
158,7955,4,19794,160,0.991982,0.999497,0.286677,0.999497,0.713323,0.445558,0.994125,1.005405,0.011037
159,7955,4,19793,161,0.991931,0.999497,0.286687,0.999497,0.713313,0.445571,0.994089,1.005441,0.011108
160,7955,4,19792,162,0.991881,0.999497,0.286698,0.999497,0.713302,0.445583,0.994053,1.005477,0.011294
161,7955,4,19791,163,0.991831,0.999497,0.286708,0.999497,0.713292,0.445596,0.994017,1.005513,0.011342
162,7955,4,19790,164,0.991781,0.999497,0.286718,0.999497,0.713282,0.445608,0.993981,1.00555,0.011362
163,7955,4,19789,165,0.991731,0.999497,0.286729,0.999497,0.713271,0.445621,0.993945,1.005586,0.011484
164,7955,4,19788,166,0.991681,0.999497,0.286739,0.999497,0.713261,0.445633,0.99391,1.005622,0.011624
165,7955,4,19787,167,0.991631,0.999497,0.286749,0.999497,0.713251,0.445646,0.993874,1.005658,0.011668
166,7955,4,19786,168,0.991581,0.999497,0.28676,0.999497,0.71324,0.445658,0.993838,1.005695,0.01169
167,7954,5,19786,168,0.991581,0.999372,0.286734,0.999372,0.713266,0.445615,0.993802,1.005604,0.011743
168,7954,5,19785,169,0.991531,0.999372,0.286744,0.999372,0.713256,0.445627,0.993766,1.005641,0.011906
169,7954,5,19784,170,0.99148,0.999372,0.286755,0.999372,0.713245,0.44564,0.993731,1.005677,0.011966
170,7954,5,19783,171,0.99143,0.999372,0.286765,0.999372,0.713235,0.445652,0.993695,1.005713,0.012153
171,7954,5,19782,172,0.99138,0.999372,0.286775,0.999372,0.713225,0.445665,0.993659,1.005749,0.012187
172,7954,5,19781,173,0.99133,0.999372,0.286786,0.999372,0.713214,0.445677,0.993623,1.005786,0.012189
173,7954,5,19780,174,0.99128,0.999372,0.286796,0.999372,0.713204,0.44569,0.993587,1.005822,0.01227
174,7954,5,19779,175,0.99123,0.999372,0.286806,0.999372,0.713194,0.445702,0.993551,1.005858,0.012302
175,7954,5,19778,176,0.99118,0.999372,0.286817,0.999372,0.713183,0.445715,0.993516,1.005894,0.012393
176,7953,6,19778,176,0.99118,0.999246,0.286791,0.999246,0.713209,0.445671,0.99348,1.005804,0.012471
177,7953,6,19777,177,0.99113,0.999246,0.286801,0.999246,0.713199,0.445684,0.993444,1.005841,0.012513
178,7953,6,19776,178,0.991079,0.999246,0.286812,0.999246,0.713188,0.445696,0.993408,1.005877,0.012544
179,7953,6,19775,179,0.991029,0.999246,0.286822,0.999246,0.713178,0.445709,0.993372,1.005913,0.012555
180,7953,6,19774,180,0.990979,0.999246,0.286832,0.999246,0.713168,0.445721,0.993336,1.005949,0.012616
181,7953,6,19773,181,0.990929,0.999246,0.286843,0.999246,0.713157,0.445734,0.993301,1.005986,0.012788
182,7953,6,19772,182,0.990879,0.999246,0.286853,0.999246,0.713147,0.445746,0.993265,1.006022,0.012842
183,7953,6,19771,183,0.990829,0.999246,0.286863,0.999246,0.713137,0.445758,0.993229,1.006058,0.012877
184,7953,6,19770,184,0.990779,0.999246,0.286874,0.999246,0.713126,0.445771,0.993193,1.006094,0.01288
185,7953,6,19769,185,0.990729,0.999246,0.286884,0.999246,0.713116,0.445783,0.993157,1.006131,0.012963
186,7953,6,19768,186,0.990679,0.999246,0.286894,0.999246,0.713106,0.445796,0.993121,1.006167,0.013005
187,7953,6,19767,187,0.990628,0.999246,0.286905,0.999246,0.713095,0.445808,0.993086,1.006203,0.013167
188,7953,6,19766,188,0.990578,0.999246,0.286915,0.999246,0.713085,0.445821,0.99305,1.00624,0.013346
189,7953,6,19765,189,0.990528,0.999246,0.286925,0.999246,0.713075,0.445833,0.993014,1.006276,0.013583
190,7953,6,19764,190,0.990478,0.999246,0.286936,0.999246,0.713064,0.445846,0.992978,1.006312,0.013679
191,7953,6,19763,191,0.990428,0.999246,0.286946,0.999246,0.713054,0.445858,0.992942,1.006349,0.013696
192,7953,6,19762,192,0.990378,0.999246,0.286957,0.999246,0.713043,0.445871,0.992907,1.006385,0.013831
193,7953,6,19761,193,0.990328,0.999246,0.286967,0.999246,0.713033,0.445883,0.992871,1.006421,0.01386
194,7953,6,19760,194,0.990278,0.999246,0.286977,0.999246,0.713023,0.445896,0.992835,1.006458,0.013985
195,7953,6,19759,195,0.990228,0.999246,0.286988,0.999246,0.713012,0.445908,0.992799,1.006494,0.014038
196,7953,6,19758,196,0.990177,0.999246,0.286998,0.999246,0.713002,0.445921,0.992763,1.00653,0.014157
197,7953,6,19757,197,0.990127,0.999246,0.287008,0.999246,0.712992,0.445933,0.992727,1.006566,0.014166
198,7953,6,19756,198,0.990077,0.999246,0.287019,0.999246,0.712981,0.445946,0.992692,1.006603,0.014185
199,7953,6,19755,199,0.990027,0.999246,0.287029,0.999246,0.712971,0.445958,0.992656,1.006639,0.014267
200,7953,6,19754,200,0.989977,0.999246,0.287039,0.999246,0.712961,0.445971,0.99262,1.006675,0.014304
201,7953,6,19753,201,0.989927,0.999246,0.28705,0.999246,0.71295,0.445983,0.992584,1.006712,0.01431
202,7953,6,19752,202,0.989877,0.999246,0.28706,0.999246,0.71294,0.445996,0.992548,1.006748,0.014338
203,7953,6,19751,203,0.989827,0.999246,0.28707,0.999246,0.71293,0.446008,0.992512,1.006784,0.01455
204,7953,6,19750,204,0.989776,0.999246,0.287081,0.999246,0.712919,0.446021,0.992477,1.006821,0.014687
205,7953,6,19749,205,0.989726,0.999246,0.287091,0.999246,0.712909,0.446033,0.992441,1.006857,0.014747
206,7953,6,19748,206,0.989676,0.999246,0.287102,0.999246,0.712898,0.446046,0.992405,1.006894,0.014892
207,7953,6,19747,207,0.989626,0.999246,0.287112,0.999246,0.712888,0.446058,0.992369,1.00693,0.01496
208,7953,6,19746,208,0.989576,0.999246,0.287122,0.999246,0.712878,0.446071,0.992333,1.006966,0.014993
209,7953,6,19745,209,0.989526,0.999246,0.287133,0.999246,0.712867,0.446084,0.992297,1.007003,0.015119
210,7953,6,19744,210,0.989476,0.999246,0.287143,0.999246,0.712857,0.446096,0.992262,1.007039,0.015176
211,7953,6,19743,211,0.989426,0.999246,0.287153,0.999246,0.712847,0.446109,0.992226,1.007075,0.015215
212,7953,6,19742,212,0.989376,0.999246,0.287164,0.999246,0.712836,0.446121,0.99219,1.007112,0.015393
213,7953,6,19741,213,0.989325,0.999246,0.287174,0.999246,0.712826,0.446134,0.992154,1.007148,0.015416
214,7953,6,19740,214,0.989275,0.999246,0.287184,0.999246,0.712816,0.446146,0.992118,1.007184,0.015568
215,7953,6,19739,215,0.989225,0.999246,0.287195,0.999246,0.712805,0.446159,0.992083,1.007221,0.015736
216,7953,6,19738,216,0.989175,0.999246,0.287205,0.999246,0.712795,0.446171,0.992047,1.007257,0.015736
217,7953,6,19737,217,0.989125,0.999246,0.287216,0.999246,0.712784,0.446184,0.992011,1.007294,0.016496
218,7953,6,19736,218,0.989075,0.999246,0.287226,0.999246,0.712774,0.446196,0.991975,1.00733,0.016524
219,7953,6,19735,219,0.989025,0.999246,0.287236,0.999246,0.712764,0.446209,0.991939,1.007366,0.016548
220,7953,6,19734,220,0.988975,0.999246,0.287247,0.999246,0.712753,0.446221,0.991903,1.007403,0.016573
221,7953,6,19733,221,0.988925,0.999246,0.287257,0.999246,0.712743,0.446234,0.991868,1.007439,0.016791
222,7953,6,19732,222,0.988874,0.999246,0.287267,0.999246,0.712733,0.446246,0.991832,1.007475,0.016912
223,7953,6,19731,223,0.988824,0.999246,0.287278,0.999246,0.712722,0.446259,0.991796,1.007512,0.017145
224,7953,6,19730,224,0.988774,0.999246,0.287288,0.999246,0.712712,0.446271,0.99176,1.007548,0.017176
225,7953,6,19729,225,0.988724,0.999246,0.287299,0.999246,0.712701,0.446284,0.991724,1.007585,0.017196
226,7953,6,19728,226,0.988674,0.999246,0.287309,0.999246,0.712691,0.446296,0.991688,1.007621,0.017212
227,7953,6,19727,227,0.988624,0.999246,0.287319,0.999246,0.712681,0.446309,0.991653,1.007657,0.017238
228,7953,6,19726,228,0.988574,0.999246,0.28733,0.999246,0.71267,0.446321,0.991617,1.007694,0.017397
229,7953,6,19725,229,0.988524,0.999246,0.28734,0.999246,0.71266,0.446334,0.991581,1.00773,0.017871
230,7953,6,19723,231,0.988423,0.999246,0.287361,0.999246,0.712639,0.446359,0.991509,1.007803,0.017924
231,7953,6,19722,232,0.988373,0.999246,0.287371,0.999246,0.712629,0.446371,0.991474,1.007839,0.017941
232,7953,6,19721,233,0.988323,0.999246,0.287382,0.999246,0.712618,0.446384,0.991438,1.007876,0.017954
233,7953,6,19720,234,0.988273,0.999246,0.287392,0.999246,0.712608,0.446396,0.991402,1.007912,0.018101
234,7953,6,19719,235,0.988223,0.999246,0.287402,0.999246,0.712598,0.446409,0.991366,1.007949,0.018102
