@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
83,6097,3,21733,80,0.996332,0.999508,0.21908,0.999508,0.78092,0.359387,0.997026,1.002489,0.005434
84,6097,3,21732,81,0.996287,0.999508,0.219088,0.999508,0.780912,0.359398,0.996991,1.002525,0.005441
85,6097,3,21731,82,0.996241,0.999508,0.219096,0.999508,0.780904,0.359408,0.996955,1.002561,0.005548
86,6097,3,21730,83,0.996195,0.999508,0.219104,0.999508,0.780896,0.359419,0.996919,1.002597,0.005569
87,6097,3,21729,84,0.996149,0.999508,0.219112,0.999508,0.780888,0.359429,0.996883,1.002633,0.0056
88,6097,3,21728,85,0.996103,0.999508,0.219119,0.999508,0.780881,0.35944,0.996847,1.002669,0.00562
89,6097,3,21727,86,0.996057,0.999508,0.219127,0.999508,0.780873,0.359451,0.996812,1.002705,0.005686
90,6097,3,21726,87,0.996012,0.999508,0.219135,0.999508,0.780865,0.359461,0.996776,1.002741,0.005696
91,6097,3,21725,88,0.995966,0.999508,0.219143,0.999508,0.780857,0.359472,0.99674,1.002777,0.005814
92,6097,3,21724,89,0.99592,0.999508,0.219151,0.999508,0.780849,0.359482,0.996704,1.002813,0.006034
93,6097,3,21723,90,0.995874,0.999508,0.219159,0.999508,0.780841,0.359493,0.996668,1.002849,0.006084
94,6097,3,21722,91,0.995828,0.999508,0.219167,0.999508,0.780833,0.359504,0.996632,1.002886,0.006114
95,6097,3,21721,92,0.995782,0.999508,0.219175,0.999508,0.780825,0.359514,0.996597,1.002922,0.006159
96,6097,3,21720,93,0.995736,0.999508,0.219183,0.999508,0.780817,0.359525,0.996561,1.002958,0.006195
97,6097,3,21719,94,0.995691,0.999508,0.21919,0.999508,0.78081,0.359535,0.996525,1.002994,0.006241
98,6097,3,21718,95,0.995645,0.999508,0.219198,0.999508,0.780802,0.359546,0.996489,1.00303,0.006271
99,6097,3,21717,96,0.995599,0.999508,0.219206,0.999508,0.780794,0.359557,0.996453,1.003066,0.006372
100,6097,3,21716,97,0.995553,0.999508,0.219214,0.999508,0.780786,0.359567,0.996417,1.003102,0.006439
101,6097,3,21715,98,0.995507,0.999508,0.219222,0.999508,0.780778,0.359578,0.996382,1.003138,0.00646
102,6097,3,21714,99,0.995461,0.999508,0.21923,0.999508,0.78077,0.359588,0.996346,1.003174,0.00647
103,6097,3,21713,100,0.995416,0.999508,0.219238,0.999508,0.780762,0.359599,0.99631,1.00321,0.006634
104,6097,3,21712,101,0.99537,0.999508,0.219246,0.999508,0.780754,0.35961,0.996274,1.003246,0.006642
105,6097,3,21711,102,0.995324,0.999508,0.219253,0.999508,0.780747,0.35962,0.996238,1.003282,0.006704
106,6097,3,21710,103,0.995278,0.999508,0.219261,0.999508,0.780739,0.359631,0.996202,1.003318,0.006969
107,6097,3,21709,104,0.995232,0.999508,0.219269,0.999508,0.780731,0.359641,0.996167,1.003354,0.007008
108,6097,3,21708,105,0.995186,0.999508,0.219277,0.999508,0.780723,0.359652,0.996131,1.00339,0.007023
109,6097,3,21707,106,0.995141,0.999508,0.219285,0.999508,0.780715,0.359663,0.996095,1.003427,0.007075
110,6097,3,21706,107,0.995095,0.999508,0.219293,0.999508,0.780707,0.359673,0.996059,1.003463,0.007115
111,6097,3,21705,108,0.995049,0.999508,0.219301,0.999508,0.780699,0.359684,0.996023,1.003499,0.007152
112,6097,3,21704,109,0.995003,0.999508,0.219309,0.999508,0.780691,0.359694,0.995988,1.003535,0.007249
113,6097,3,21703,110,0.994957,0.999508,0.219317,0.999508,0.780683,0.359705,0.995952,1.003571,0.007419
114,6097,3,21702,111,0.994911,0.999508,0.219324,0.999508,0.780676,0.359716,0.995916,1.003607,0.007432
115,6097,3,21701,112,0.994865,0.999508,0.219332,0.999508,0.780668,0.359726,0.99588,1.003643,0.00747
116,6096,4,21701,112,0.994865,0.999344,0.219304,0.999344,0.780696,0.359678,0.995844,1.003515,0.007869
117,6096,4,21700,113,0.99482,0.999344,0.219312,0.999344,0.780688,0.359688,0.995808,1.003551,0.007894
118,6096,4,21699,114,0.994774,0.999344,0.21932,0.999344,0.78068,0.359699,0.995773,1.003587,0.007901
119,6096,4,21698,115,0.994728,0.999344,0.219328,0.999344,0.780672,0.35971,0.995737,1.003623,0.007918
120,6096,4,21697,116,0.994682,0.999344,0.219336,0.999344,0.780664,0.35972,0.995701,1.003659,0.007936
121,6096,4,21696,117,0.994636,0.999344,0.219344,0.999344,0.780656,0.359731,0.995665,1.003695,0.007971
122,6096,4,21695,118,0.99459,0.999344,0.219352,0.999344,0.780648,0.359742,0.995629,1.003731,0.008056
123,6096,4,21694,119,0.994545,0.999344,0.219359,0.999344,0.780641,0.359752,0.995593,1.003767,0.008079
124,6096,4,21693,120,0.994499,0.999344,0.219367,0.999344,0.780633,0.359763,0.995558,1.003804,0.008106
125,6096,4,21692,121,0.994453,0.999344,0.219375,0.999344,0.780625,0.359773,0.995522,1.00384,0.00811
126,6096,4,21691,122,0.994407,0.999344,0.219383,0.999344,0.780617,0.359784,0.995486,1.003876,0.008141
127,6096,4,21690,123,0.994361,0.999344,0.219391,0.999344,0.780609,0.359795,0.99545,1.003912,0.008153
128,6096,4,21689,124,0.994315,0.999344,0.219399,0.999344,0.780601,0.359805,0.995414,1.003948,0.008291
129,6096,4,21688,125,0.994269,0.999344,0.219407,0.999344,0.780593,0.359816,0.995378,1.003984,0.008305
130,6096,4,21687,126,0.994224,0.999344,0.219415,0.999344,0.780585,0.359826,0.995343,1.00402,0.008403
131,6096,4,21686,127,0.994178,0.999344,0.219423,0.999344,0.780577,0.359837,0.995307,1.004056,0.008545
132,6096,4,21685,128,0.994132,0.999344,0.219431,0.999344,0.780569,0.359848,0.995271,1.004093,0.008645
133,6096,4,21684,129,0.994086,0.999344,0.219438,0.999344,0.780562,0.359858,0.995235,1.004129,0.008708
134,6096,4,21683,130,0.99404,0.999344,0.219446,0.999344,0.780554,0.359869,0.995199,1.004165,0.008781
135,6096,4,21682,131,0.993994,0.999344,0.219454,0.999344,0.780546,0.35988,0.995164,1.004201,0.008929
136,6096,4,21681,132,0.993949,0.999344,0.219462,0.999344,0.780538,0.35989,0.995128,1.004237,0.009035
137,6096,4,21680,133,0.993903,0.999344,0.21947,0.999344,0.78053,0.359901,0.995092,1.004273,0.009097
138,6096,4,21679,134,0.993857,0.999344,0.219478,0.999344,0.780522,0.359911,0.995056,1.00431,0.009134
139,6096,4,21678,135,0.993811,0.999344,0.219486,0.999344,0.780514,0.359922,0.99502,1.004346,0.009147
140,6096,4,21677,136,0.993765,0.999344,0.219494,0.999344,0.780506,0.359933,0.994984,1.004382,0.00929
141,6096,4,21676,137,0.993719,0.999344,0.219502,0.999344,0.780498,0.359943,0.994949,1.004418,0.009471
142,6095,5,21676,137,0.993719,0.99918,0.219474,0.99918,0.780526,0.359895,0.994913,1.004289,0.009694
143,6095,5,21675,138,0.993673,0.99918,0.219481,0.99918,0.780519,0.359906,0.994877,1.004326,0.009813
144,6095,5,21674,139,0.993628,0.99918,0.219489,0.99918,0.780511,0.359916,0.994841,1.004362,0.009818
145,6095,5,21673,140,0.993582,0.99918,0.219497,0.99918,0.780503,0.359927,0.994805,1.004398,0.009834
146,6095,5,21672,141,0.993536,0.99918,0.219505,0.99918,0.780495,0.359937,0.994769,1.004434,0.00996
147,6095,5,21671,142,0.99349,0.99918,0.219513,0.99918,0.780487,0.359948,0.994734,1.00447,0.010164
148,6095,5,21670,143,0.993444,0.99918,0.219521,0.99918,0.780479,0.359959,0.994698,1.004506,0.010232
149,6095,5,21669,144,0.993398,0.99918,0.219529,0.99918,0.780471,0.359969,0.994662,1.004543,0.010366
150,6095,5,21668,145,0.993353,0.99918,0.219537,0.99918,0.780463,0.35998,0.994626,1.004579,0.010386
151,6095,5,21667,146,0.993307,0.99918,0.219545,0.99918,0.780455,0.359991,0.99459,1.004615,0.010397
152,6095,5,21666,147,0.993261,0.99918,0.219553,0.99918,0.780447,0.360001,0.994555,1.004651,0.010434
153,6095,5,21665,148,0.993215,0.99918,0.219561,0.99918,0.780439,0.360012,0.994519,1.004687,0.010471
154,6095,5,21664,149,0.993169,0.99918,0.219568,0.99918,0.780432,0.360022,0.994483,1.004724,0.010488
155,6095,5,21663,150,0.993123,0.99918,0.219576,0.99918,0.780424,0.360033,0.994447,1.00476,0.010506
156,6095,5,21662,151,0.993078,0.99918,0.219584,0.99918,0.780416,0.360044,0.994411,1.004796,0.010604
157,6095,5,21661,152,0.993032,0.99918,0.219592,0.99918,0.780408,0.360054,0.994375,1.004832,0.010617
158,6095,5,21660,153,0.992986,0.99918,0.2196,0.99918,0.7804,0.360065,0.99434,1.004868,0.010693
159,6095,5,21659,154,0.99294,0.99918,0.219608,0.99918,0.780392,0.360076,0.994304,1.004905,0.010693
160,6095,5,21658,155,0.992894,0.99918,0.219616,0.99918,0.780384,0.360086,0.994268,1.004941,0.010725
161,6095,5,21657,156,0.992848,0.99918,0.219624,0.99918,0.780376,0.360097,0.994232,1.004977,0.010727
162,6095,5,21656,157,0.992802,0.99918,0.219632,0.99918,0.780368,0.360108,0.994196,1.005013,0.010732
163,6095,5,21655,158,0.992757,0.99918,0.21964,0.99918,0.78036,0.360118,0.99416,1.005049,0.010754
164,6095,5,21654,159,0.992711,0.99918,0.219648,0.99918,0.780352,0.360129,0.994125,1.005086,0.010875
165,6095,5,21653,160,0.992665,0.99918,0.219655,0.99918,0.780345,0.360139,0.994089,1.005122,0.010897
166,6094,6,21653,160,0.992665,0.999016,0.219627,0.999016,0.780373,0.360091,0.994053,1.004993,0.010953
167,6094,6,21652,161,0.992619,0.999016,0.219635,0.999016,0.780365,0.360102,0.994017,1.005029,0.011015
168,6094,6,21651,162,0.992573,0.999016,0.219643,0.999016,0.780357,0.360112,0.993981,1.005066,0.011151
169,6094,6,21650,163,0.992527,0.999016,0.219651,0.999016,0.780349,0.360123,0.993945,1.005102,0.011172
170,6094,6,21649,164,0.992482,0.999016,0.219659,0.999016,0.780341,0.360134,0.99391,1.005138,0.01128
171,6094,6,21648,165,0.992436,0.999016,0.219667,0.999016,0.780333,0.360144,0.993874,1.005174,0.011297
172,6094,6,21647,166,0.99239,0.999016,0.219675,0.999016,0.780325,0.360155,0.993838,1.005211,0.011406
173,6094,6,21646,167,0.992344,0.999016,0.219683,0.999016,0.780317,0.360165,0.993802,1.005247,0.011545
174,6094,6,21645,168,0.992298,0.999016,0.219691,0.999016,0.780309,0.360176,0.993766,1.005283,0.011547
175,6094,6,21644,169,0.992252,0.999016,0.219699,0.999016,0.780301,0.360187,0.993731,1.005319,0.01156
176,6094,6,21643,170,0.992206,0.999016,0.219707,0.999016,0.780293,0.360197,0.993695,1.005355,0.011693
177,6094,6,21642,171,0.992161,0.999016,0.219714,0.999016,0.780286,0.360208,0.993659,1.005392,0.011699
178,6094,6,21641,172,0.992115,0.999016,0.219722,0.999016,0.780278,0.360219,0.993623,1.005428,0.011739
179,6094,6,21640,173,0.992069,0.999016,0.21973,0.999016,0.78027,0.360229,0.993587,1.005464,0.011896
180,6094,6,21639,174,0.992023,0.999016,0.219738,0.999016,0.780262,0.36024,0.993551,1.0055,0.011917
181,6094,6,21638,175,0.991977,0.999016,0.219746,0.999016,0.780254,0.360251,0.993516,1.005537,0.011919
182,6094,6,21637,176,0.991931,0.999016,0.219754,0.999016,0.780246,0.360261,0.99348,1.005573,0.011939
183,6094,6,21636,177,0.991886,0.999016,0.219762,0.999016,0.780238,0.360272,0.993444,1.005609,0.011955
184,6094,6,21635,178,0.99184,0.999016,0.21977,0.999016,0.78023,0.360283,0.993408,1.005646,0.012227
185,6094,6,21634,179,0.991794,0.999016,0.219778,0.999016,0.780222,0.360293,0.993372,1.005682,0.012241
186,6094,6,21633,180,0.991748,0.999016,0.219786,0.999016,0.780214,0.360304,0.993336,1.005718,0.012252
187,6094,6,21632,181,0.991702,0.999016,0.219794,0.999016,0.780206,0.360315,0.993301,1.005754,0.012298
188,6094,6,21631,182,0.991656,0.999016,0.219802,0.999016,0.780198,0.360325,0.993265,1.005791,0.012308
189,6094,6,21630,183,0.991611,0.999016,0.21981,0.999016,0.78019,0.360336,0.993229,1.005827,0.012382
190,6094,6,21629,184,0.991565,0.999016,0.219817,0.999016,0.780183,0.360347,0.993193,1.005863,0.012414
191,6094,6,21628,185,0.991519,0.999016,0.219825,0.999016,0.780175,0.360357,0.993157,1.005899,0.012441
192,6094,6,21627,186,0.991473,0.999016,0.219833,0.999016,0.780167,0.360368,0.993121,1.005936,0.012474
193,6094,6,21626,187,0.991427,0.999016,0.219841,0.999016,0.780159,0.360378,0.993086,1.005972,0.012502
194,6094,6,21625,188,0.991381,0.999016,0.219849,0.999016,0.780151,0.360389,0.99305,1.006008,0.012689
195,6094,6,21624,189,0.991335,0.999016,0.219857,0.999016,0.780143,0.3604,0.993014,1.006045,0.012699
196,6094,6,21623,190,0.99129,0.999016,0.219865,0.999016,0.780135,0.36041,0.992978,1.006081,0.012743
197,6094,6,21622,191,0.991244,0.999016,0.219873,0.999016,0.780127,0.360421,0.992942,1.006117,0.012922
198,6094,6,21621,192,0.991198,0.999016,0.219881,0.999016,0.780119,0.360432,0.992907,1.006154,0.01295
199,6094,6,21620,193,0.991152,0.999016,0.219889,0.999016,0.780111,0.360442,0.992871,1.00619,0.012978
200,6094,6,21619,194,0.991106,0.999016,0.219897,0.999016,0.780103,0.360453,0.992835,1.006226,0.013023
201,6094,6,21618,195,0.99106,0.999016,0.219905,0.999016,0.780095,0.360464,0.992799,1.006262,0.013026
202,6094,6,21617,196,0.991015,0.999016,0.219913,0.999016,0.780087,0.360474,0.992763,1.006299,0.013031
203,6094,6,21616,197,0.990969,0.999016,0.219921,0.999016,0.780079,0.360485,0.992727,1.006335,0.013162
204,6094,6,21615,198,0.990923,0.999016,0.219929,0.999016,0.780071,0.360496,0.992692,1.006371,0.013178
205,6094,6,21614,199,0.990877,0.999016,0.219936,0.999016,0.780064,0.360506,0.992656,1.006408,0.013209
206,6094,6,21613,200,0.990831,0.999016,0.219944,0.999016,0.780056,0.360517,0.99262,1.006444,0.013327
207,6094,6,21612,201,0.990785,0.999016,0.219952,0.999016,0.780048,0.360528,0.992584,1.00648,0.01337
208,6094,6,21611,202,0.990739,0.999016,0.21996,0.999016,0.78004,0.360538,0.992548,1.006517,0.013509
209,6094,6,21610,203,0.990694,0.999016,0.219968,0.999016,0.780032,0.360549,0.992512,1.006553,0.013608
210,6094,6,21609,204,0.990648,0.999016,0.219976,0.999016,0.780024,0.36056,0.992477,1.006589,0.013772
211,6094,6,21608,205,0.990602,0.999016,0.219984,0.999016,0.780016,0.36057,0.992441,1.006626,0.013806
212,6094,6,21607,206,0.990556,0.999016,0.219992,0.999016,0.780008,0.360581,0.992405,1.006662,0.013867
