@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
79,7868,91,19319,635,0.968177,0.988566,0.289403,0.988566,0.710597,0.447732,0.973991,1.014965,0.002464
80,7868,91,19318,636,0.968127,0.988566,0.289414,0.988566,0.710586,0.447745,0.973955,1.015002,0.0025
81,7868,91,19316,638,0.968026,0.988566,0.289435,0.988566,0.710565,0.447771,0.973883,1.015077,0.0025
82,7867,92,19310,644,0.967726,0.988441,0.289473,0.988441,0.710527,0.447803,0.973632,1.015209,0.0025
83,7867,92,19309,645,0.967676,0.988441,0.289483,0.988441,0.710517,0.447816,0.973597,1.015247,0.0025
84,7867,92,19308,646,0.967626,0.988441,0.289494,0.988441,0.710506,0.447828,0.973561,1.015284,0.002518
85,7866,93,19308,646,0.967626,0.988315,0.289468,0.988315,0.710532,0.447784,0.973525,1.015192,0.002553
86,7866,93,19307,647,0.967575,0.988315,0.289479,0.988315,0.710521,0.447797,0.973489,1.01523,0.002609
87,7866,93,19306,648,0.967525,0.988315,0.289489,0.988315,0.710511,0.44781,0.973453,1.015267,0.002619
88,7866,93,19305,649,0.967475,0.988315,0.2895,0.988315,0.7105,0.447822,0.973417,1.015305,0.002679
89,7866,93,19304,650,0.967425,0.988315,0.28951,0.988315,0.71049,0.447835,0.973382,1.015342,0.002727
90,7866,93,19303,651,0.967375,0.988315,0.289521,0.988315,0.710479,0.447848,0.973346,1.015379,0.002727
91,7865,94,19303,651,0.967375,0.988189,0.289495,0.988189,0.710505,0.447804,0.97331,1.015288,0.00273
92,7865,94,19302,652,0.967325,0.988189,0.289506,0.988189,0.710494,0.447816,0.973274,1.015325,0.002742
93,7865,94,19301,653,0.967275,0.988189,0.289516,0.988189,0.710484,0.447829,0.973238,1.015362,0.00275
94,7865,94,19299,655,0.967175,0.988189,0.289538,0.988189,0.710462,0.447855,0.973167,1.015437,0.002755
95,7865,94,19298,656,0.967124,0.988189,0.289548,0.988189,0.710452,0.447867,0.973131,1.015474,0.002759
96,7865,94,19297,657,0.967074,0.988189,0.289559,0.988189,0.710441,0.44788,0.973095,1.015512,0.002778
97,7865,94,19296,658,0.967024,0.988189,0.28957,0.988189,0.71043,0.447893,0.973059,1.015549,0.002796
98,7864,95,19295,659,0.966974,0.988064,0.289554,0.988064,0.710446,0.447861,0.972987,1.015495,0.002829
99,7864,95,19294,660,0.966924,0.988064,0.289565,0.988064,0.710435,0.447874,0.972952,1.015532,0.002833
100,7864,95,19293,661,0.966874,0.988064,0.289575,0.988064,0.710425,0.447887,0.972916,1.01557,0.002835
101,7864,95,19292,662,0.966824,0.988064,0.289586,0.988064,0.710414,0.4479,0.97288,1.015607,0.002857
102,7864,95,19290,664,0.966723,0.988064,0.289607,0.988064,0.710393,0.447925,0.972808,1.015682,0.002907
103,7864,95,19289,665,0.966673,0.988064,0.289618,0.988064,0.710382,0.447938,0.972773,1.015719,0.002917
104,7864,95,19288,666,0.966623,0.988064,0.289629,0.988064,0.710371,0.447951,0.972737,1.015757,0.002925
105,7864,95,19287,667,0.966573,0.988064,0.289639,0.988064,0.710361,0.447964,0.972701,1.015794,0.002941
