@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
112,13781,73,13835,224,0.984067,0.994731,0.499022,0.994731,0.500978,0.664625,0.98936,1.005429,0.013
113,13781,73,13834,225,0.983996,0.994731,0.49904,0.994731,0.50096,0.664641,0.989324,1.005465,0.013143
114,13780,74,13834,225,0.983996,0.994659,0.499022,0.994659,0.500978,0.664609,0.989288,1.005429,0.013148
115,13780,74,13833,226,0.983925,0.994659,0.49904,0.994659,0.50096,0.664625,0.989252,1.005465,0.013327
116,13779,75,13833,226,0.983925,0.994586,0.499022,0.994586,0.500978,0.664593,0.989216,1.005428,0.013333
117,13778,76,13833,226,0.983925,0.994514,0.499004,0.994514,0.500996,0.66456,0.989181,1.005392,0.013333
118,13778,76,13832,227,0.983854,0.994514,0.499022,0.994514,0.500978,0.664577,0.989145,1.005428,0.013333
119,13777,77,13831,228,0.983783,0.994442,0.499022,0.994442,0.500978,0.66456,0.989073,1.005428,0.013361
120,13777,77,13830,229,0.983712,0.994442,0.49904,0.994442,0.50096,0.664576,0.989037,1.005465,0.013967
121,13777,77,13829,230,0.98364,0.994442,0.499058,0.994442,0.500942,0.664592,0.989002,1.005501,0.013977
122,13777,77,13828,231,0.983569,0.994442,0.499076,0.994442,0.500924,0.664608,0.988966,1.005537,0.014089
123,13777,77,13827,232,0.983498,0.994442,0.499094,0.994442,0.500906,0.664624,0.98893,1.005574,0.014265
124,13777,77,13826,233,0.983427,0.994442,0.499112,0.994442,0.500888,0.66464,0.988894,1.00561,0.014361
125,13777,77,13825,234,0.983356,0.994442,0.49913,0.994442,0.50087,0.664657,0.988858,1.005647,0.014472
126,13777,77,13824,235,0.983285,0.994442,0.499149,0.994442,0.500851,0.664673,0.988822,1.005683,0.014571
127,13776,78,13824,235,0.983285,0.99437,0.49913,0.99437,0.50087,0.66464,0.988787,1.005647,0.014583
128,13776,78,13822,237,0.983142,0.99437,0.499167,0.99437,0.500833,0.664672,0.988715,1.005719,0.014596
129,13776,78,13821,238,0.983071,0.99437,0.499185,0.99437,0.500815,0.664688,0.988679,1.005756,0.014649
130,13776,78,13820,239,0.983,0.99437,0.499203,0.99437,0.500797,0.664704,0.988643,1.005792,0.014712
